totalload,fixedSupply,inelasticload,,
45904,5292.9,44563.29539,,0.970793295
45357.75,5275.975,44032.99956,,
44811.5,5493.85,43502.70372,,
44265.25,5517.125,42972.40788,,
43719,5384.8,42442.11204,,
43540.75,4879.5,42269.06814,,
43362.5,4688.7,42096.02423,,
43184.25,4719.3,41922.98033,,
43006,4817.3,41749.93643,,
42819,4817.925,41568.39808,,
42632,4775.95,41386.85973,,
42445,4863.675,41205.32139,,
42258,4787.3,41023.78304,,
42604.25,4825.875,41359.92022,,
42950.5,4688.65,41696.0574,,
43296.75,4713.825,42032.19458,,
43643,4829.5,42368.33175,,
44591.5,4798.175,43289.12919,,
45540,4883.25,44209.92663,,
46488.5,5098.325,45130.72407,,
47437,5292.2,46051.52151,,
48909.25,5456.5,47480.77194,,
50381.5,5472.1,48910.02237,,
51853.75,5428.3,50339.2728,,
53326,5612.8,51768.52323,,
54630.5,6045.85,53034.92308,,
55935,6443.4,54301.32293,,
57239.5,6783.45,55567.72278,,
58544,7105.6,56834.12264,,
59246.5,7500.3,57516.10493,,
59949,7871,58198.08721,,
60651.5,8380.2,58880.0695,,
61354,8955.2,59562.05179,,
61644,9682.05,59843.58185,,
61934,10197.6,60125.1119,,
62224,11195.05,60406.64196,,
62514,11921.6,60688.17202,,
62709,13064.975,60877.47671,,
62904,13842.45,61066.7814,,
63099,14817.525,61256.08609,,
63294,16014.7,61445.39079,,
63718.75,17224.775,61857.73524,,
64143.5,18567.35,62270.07969,,
64568.25,19558.025,62682.42414,,
64993,19983.6,63094.76859,,
65337,20563.85,63428.72149,,
65681,21467.9,63762.67438,,
66025,21860.65,64096.62727,,
66369,21923.3,64430.58017,,
66378.5,22157.175,64439.8027,,
66388,22265.15,64449.02524,,
66397.5,21788.725,64458.24777,,
66407,20918.9,64467.47031,,
66367.25,20676.7,64428.88128,,
66327.5,20346,64390.29224,,
66287.75,19960,64351.70321,,
66248,20000.1,64313.11418,,
65794.5,19582.525,63872.85942,,
65341,19420.25,63432.60466,,
64887.5,18632.075,62992.3499,,
64434,17768.4,62552.09514,,
63875,16811.4,62009.42169,,
63316,16132.3,61466.74824,,
62757,15575.5,60924.07479,,
62198,14321.6,60381.40133,,
62025.5,13447.95,60213.93949,,
61853,12771.7,60046.47765,,
61680.5,11394.25,59879.0158,,
61508,10481.3,59711.55396,,
61024.25,9777.1,59241.9327,,
60540.5,9020.7,58772.31145,,
60056.75,8362.2,58302.69019,,
59573,8392.5,57833.06894,,
59866.75,8410.075,58118.23947,,
60160.5,8120.95,58403.41,,
60454.25,7799.825,58688.58053,,
60748,7756.4,58973.75106,,
60397.25,7504.5,58633.24531,,
60046.5,7440.4,58292.73956,,
59695.75,7478.7,57952.23381,,
59345,7603,57611.72806,,
58721,7727.225,57005.95305,,
58097,8011.25,56400.17803,,
57473,8275.275,55794.40302,,
56849,8398.4,55188.628,,
56187.25,8121.525,54546.20554,,
55525.5,8059.95,53903.78308,,
54863.75,8207.175,53261.36061,,
54202,8141.8,52618.93815,,
53229.5,8053.225,51674.84167,,
52257,8150.65,50730.74519,,
51284.5,8247.175,49786.64871,,
50312,8089.2,48842.55224,,
49732.5,8067.075,48279.97752,,
49153,7912.65,47717.40281,,
48573.5,7778.125,47154.82809,,
1358968.75,,1319277.75,,
,,,,
,39691,,,
