Generators,BusGenerators,DynamicProfile,ParticipationFactor,FuelGenerator,Bus,SubZone,Zone,Capacity
GPS1,D-134,GOLDISTAHL,1,HYDRAULIC_PS,D-134,TH,DE,1060
GPS2,D_engstl,HAUSERN,1,HYDRAULIC_PS,D_engstl,BW,DE,112
GPS3,D-108,HERDECKE,1,HYDRAULIC_PS,D-108,NRW,DE,153
GPS4,D-49,HOHENW,1,HYDRAULIC_PS,D-49,NI_HB,DE,383
GPS5,D-197,HYDRO_BAY,1,HYDRAULIC_PS,D-197,BY,DE,994
GPS6,D_engstl,HYDRO_RWE_BADEN-WURTT,1,HYDRAULIC_PS,D_engstl,BW,DE,461
GPS7,D-162,HYDRO_RWE_RHEINLAND,1,HYDRAULIC_PS,D-162,RLP_SL,DE,254
GPS8,D-122,MARKERSB,1,HYDRAULIC_PS,D-122,SN,DE,1050
GPS9,D-94,NIEDERW,1,HYDRAULIC_PS,D-94,SN,DE,120
GPS10,D_kuhmoo,WEHR,1,HYDRAULIC_PS,D_kuhmoo,BW,DE,980
GPS11,D-79,WENDEFURTH,1,HYDRAULIC_PS,D-79,ST,DE,80
GPS12,D_engstl,WITZNAU,1,HYDRAULIC_PS,D_engstl,BW,DE,220
